name,date,score,market_value,market_value_norm,score_norm,performance
Christian Fassnacht,2013-04-07,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-04-14,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-04-21,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-04-28,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-05-05,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-05-12,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-05-19,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-05-26,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-06-02,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-06-09,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-06-16,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-06-23,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-06-30,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-07-07,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-07-14,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-07-21,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-07-28,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-08-04,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-08-11,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-08-18,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-08-25,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-09-01,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-09-08,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-09-15,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-09-22,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-09-29,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-10-06,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-10-13,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-10-20,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-10-27,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-11-03,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-11-10,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-11-17,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-11-24,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-12-01,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-12-08,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-12-15,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-12-22,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-12-29,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-01-05,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-01-12,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-01-19,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-01-26,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-02-02,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-02-09,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-02-16,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-02-23,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2014-03-02,0,110000.0,0.0,0.0,0.0
